SRA,Region,Zipcode,ZCTA,Total (55 to 64),Under .50 (55 to 64),.50 to .74 (55 to 64),.75 to .99 (55 to 64),1.00 to 1.24 (55 to 64),1.25 to 1.49 (55 to 64),1.50 to 1.74 (55 to 64),1.75 to 1.84 (55 to 64),1.85 to 1.99 (55 to 64),2.00 to 2.99 (55 to 64),3.00 to 3.99 (55 to 64),4.00 to 4.99 (55 to 64),5.00 and over (55 to 64),Total (65 to 74),Under .50 (65 to 74),.50 to .74 (65 to 74),.75 to .99 (65 to 74),1.00 to 1.24 (65 to 74),1.25 to 1.49 (65 to 74),1.50 to 1.74 (65 to 74),1.75 to 1.84 (65 to 74),1.85 to 1.99 (65 to 74),2.00 to 2.99 (65 to 74),3.00 to 3.99 (65 to 74),4.00 to 4.99 (65 to 74),5.00 and over (65 to 74),Total (75 and over),Under .50 (75 and over),.50 to .74 (75 and over),.75 to .99 (75 and over),1.00 to 1.24 (75 and over),1.25 to 1.49 (75 and over),1.50 to 1.74 (75 and over),1.75 to 1.84 (75 and over),1.85 to 1.99 (75 and over),2.00 to 2.99 (75 and over),3.00 to 3.99 (75 and over),4.00 to 4.99 (75 and over),5.00 and over (75 and over)
Poway,North Inland, 92131, 92131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poway,North Inland,00000,00000,6759,156,52,99,159,120,164,130,76,555,674,527,4047,4185,49,98,46,187,48,139,0,53,505,458,478,2124,2690,37,80,115,177,238,164,44,67,359,284,382,743
Central San Diego,Central,92101,92101,4101,700,83,382,289,126,70,49,129,364,95,139,1675,2638,191,69,336,257,165,118,17,27,328,84,165,881,2084,170,47,331,156,231,170,29,39,201,227,9,474
Central San Diego,Central, 92102, 92102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92103, 92103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92104, 92104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92134, 92134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central, 92136, 92113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central San Diego,Central,00000,00000,4101,700,83,382,289,126,70,49,129,364,95,139,1675,2638,191,69,336,257,165,118,17,27,328,84,165,881,2084,170,47,331,156,231,170,29,39,201,227,9,474
South Bay,South ,91932,91932,2987,144,162,163,148,148,196,45,31,530,342,279,799,1271,34,87,127,67,115,84,6,16,276,145,109,205,1378,13,47,115,102,151,66,32,0,315,206,94,237
South Bay,South , 92154, 92154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bay,South , 92173, 92173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bay,South ,00000,00000,2987,144,162,163,148,148,196,45,31,530,342,279,799,1271,34,87,127,67,115,84,6,16,276,145,109,205,1378,13,47,115,102,151,66,32,0,315,206,94,237
Oceanside,North Coastal,92054,92054,4579,539,102,208,172,215,62,167,90,651,539,264,1570,2223,150,49,54,38,78,84,56,51,273,250,219,921,1866,46,24,70,55,69,127,51,62,393,398,152,419
Oceanside,North Coastal, 92056, 92056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanside,North Coastal, 92057, 92057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanside,North Coastal, 92058, 92058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanside,North Coastal,00000,00000,4579,539,102,208,172,215,62,167,90,651,539,264,1570,2223,150,49,54,38,78,84,56,51,273,250,219,921,1866,46,24,70,55,69,127,51,62,393,398,152,419
Del Mar-Mira Mesa,North Central,92014,92014,2369,107,0,10,0,87,52,0,0,116,68,215,1714,1910,0,0,25,42,0,11,18,0,181,58,95,1480,1343,22,0,0,30,37,22,29,0,93,22,252,836
Del Mar-Mira Mesa,North Central, 92126, 92126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Mar-Mira Mesa,North Central, 92130, 92130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del Mar-Mira Mesa,North Central,00000,00000,2369,107,0,10,0,87,52,0,0,116,68,215,1714,1910,0,0,25,42,0,11,18,0,181,58,95,1480,1343,22,0,0,30,37,22,29,0,93,22,252,836
Harbison Crest/El Cajon,East,92019,92019,6779,304,177,166,260,338,175,137,143,567,612,495,3405,3668,22,30,50,84,121,86,79,63,423,561,379,1770,3046,83,94,164,213,217,118,11,103,576,365,234,868
Harbison Crest/El Cajon,East, 92020, 92020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbison Crest/El Cajon,East, 92021, 92021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbison Crest/El Cajon,East,00000,00000,6779,304,177,166,260,338,175,137,143,567,612,495,3405,3668,22,30,50,84,121,86,79,63,423,561,379,1770,3046,83,94,164,213,217,118,11,103,576,365,234,868
Peninsula,North Central,92106,92106,2588,37,0,24,33,75,49,12,52,152,184,157,1813,1594,15,0,72,35,11,22,61,0,41,254,99,984,1629,78,40,0,28,64,38,0,72,172,177,102,858
Peninsula,North Central, 92107, 92107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula,North Central, 92140, 92140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula,North Central, 92147, 92147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peninsula,North Central,00000,00000,2588,37,0,24,33,75,49,12,52,152,184,157,1813,1594,15,0,72,35,11,22,61,0,41,254,99,984,1629,78,40,0,28,64,38,0,72,172,177,102,858
El Cajon,East,92019,92019,6779,304,177,166,260,338,175,137,143,567,612,495,3405,3668,22,30,50,84,121,86,79,63,423,561,379,1770,3046,83,94,164,213,217,118,11,103,576,365,234,868
El Cajon,East, 92020, 92020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Cajon,East,00000,00000,6779,304,177,166,260,338,175,137,143,567,612,495,3405,3668,22,30,50,84,121,86,79,63,423,561,379,1770,3046,83,94,164,213,217,118,11,103,576,365,234,868
Escondido,North Inland,92025,92025,5528,472,129,120,475,208,229,80,137,790,570,364,1954,2483,76,42,134,133,62,138,67,29,488,270,198,846,2158,68,81,112,190,150,104,44,76,369,287,195,482
Escondido,North Inland, 92026, 92026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escondido,North Inland, 92027, 92027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escondido,North Inland, 92029, 92029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
