SRA,Region,Zipcode,ZCTA,NumRCFE,NumRCFEBeds,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
Escondido,North Inland,92025,92025,28,1138.0,1,0,0,0,0,0,0,2846,1435,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43351,36441
Escondido,North Inland, 92026, 92026,35,1458.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92027, 92027,47,628.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92029, 92029,16,303.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92096, 92078,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland,00000,00000,126,3527.0,14,18188,35705,30180,49288,3769,5205,2846,1435,91707,29.91,41.31,7.89,7.97,11.39,0.76,727.83,24.33,43351,36441
Alpine,East,91901,91901,4,62.0,0,0,0,0,0,0,0,861,465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76496,65994
Alpine,East,00000,00000,4,62.0,0,2404,4678,4994,7620,339,555,861,465,3316,84.75,138.75,19.34,18.41,116.25,2.54,829.0,9.78,76496,65994
North San Diego,North Inland,92091,92091,0,0.0,0,0,0,0,0,0,0,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107273,108875
North San Diego,North Inland, 92127, 92127,10,758.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
North San Diego,North Inland, 92128, 92128,6,526.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
North San Diego,North Inland, 92129, 92129,11,396.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
